X_point_0,Y_point_0,X_point_1,Y_point_1,X_point_2,Y_point_2,X_point_3,Y_point_3,X_point_4,Y_point_4,X_point_5,Y_point_5,X_point_6,Y_point_6,X_point_7,Y_point_7,X_point_8,Y_point_8,X_point_9,Y_point_9,X_point_10,Y_point_10,X_point_11,Y_point_11,X_point_12,Y_point_12,X_point_13,Y_point_13,X_point_14,Y_point_14,X_point_15,Y_point_15,X_point_16,Y_point_16,X_point_17,Y_point_17,X_point_18,Y_point_18,X_point_19,Y_point_19,X_point_20,Y_point_20,Tipo
1136,209,1292,416,1198,287,1084,141,1313,157,1404,391,1356,245,1278,78,1754,301,1613,454,1701,361,1793,242,1591,181,1514,406,1565,268,1605,103,1313,684,1094,491,1186,585,993,430,1479,732,0
1111,332,1272,538,1177,407,1050,265,1279,280,1382,512,1328,365,1238,199,1738,409,1586,568,1680,470,1779,346,1563,295,1490,524,1541,381,1576,213,1291,793,1074,606,1164,696,966,551,1462,837,0
1079,408,1253,609,1154,481,1013,342,1259,361,1366,585,1313,443,1214,284,1728,480,1576,641,1669,545,1771,416,1543,370,1477,598,1525,459,1550,288,1270,860,1045,678,1141,767,942,613,1446,906,0
1051,440,1230,636,1126,511,987,374,1236,392,1343,611,1289,471,1192,317,1719,510,1562,667,1656,572,1767,447,1519,397,1458,624,1503,484,1526,315,1263,887,1034,705,1130,793,936,642,1439,933,0
1029,453,1206,653,1102,527,966,384,1204,405,1318,626,1258,486,1158,328,1669,503,1539,675,1620,571,1705,437,1481,404,1433,636,1468,493,1484,321,1242,900,1009,719,1106,807,903,659,1421,943,0
815,468,1003,653,893,536,746,405,972,413,1112,626,1036,493,916,340,1468,504,1349,674,1422,573,1502,439,1237,404,1231,634,1243,493,1225,324,1054,902,831,732,920,813,733,676,1236,938,0
593,479,795,658,676,543,519,419,732,429,897,630,806,506,666,357,1224,505,1129,675,1191,574,1247,439,987,408,1012,637,1009,498,960,327,868,897,644,738,733,816,560,679,1049,927,0
338,500,530,671,412,563,275,443,426,462,612,642,504,527,364,403,876,509,829,674,863,577,882,442,631,430,714,643,672,512,592,356,653,894,448,742,528,816,368,686,820,922,0
195,523,380,678,265,578,135,473,253,474,447,654,332,540,186,412,627,523,640,682,638,587,613,459,414,454,535,655,467,528,365,386,501,887,309,745,383,811,239,694,651,916,0
177,538,358,696,246,596,118,487,230,498,426,673,311,560,160,437,607,543,621,703,619,609,591,478,394,475,516,676,448,548,344,406,484,899,294,760,368,824,226,709,633,928,0
182,461,360,607,250,515,123,413,250,404,429,581,325,468,185,346,612,446,624,604,621,510,601,383,406,381,518,580,455,456,360,312,484,820,280,692,361,751,215,649,637,846,0
216,318,389,452,282,368,160,272,288,244,462,418,362,308,222,189,664,257,653,427,664,327,656,190,455,207,551,410,499,285,411,141,508,678,298,537,379,604,234,502,676,699,0
255,269,426,409,321,321,198,223,331,195,502,372,404,258,267,141,697,209,692,381,700,279,685,144,507,157,592,364,544,236,468,90,536,640,330,495,409,566,261,454,700,658,0
275,270,448,414,341,324,218,223,356,199,528,380,430,263,291,144,733,226,725,395,734,294,724,161,536,165,621,374,574,243,498,96,564,646,357,500,435,571,292,457,728,670,0
455,254,646,421,532,317,391,199,562,191,736,389,639,266,497,127,1030,243,960,420,1004,314,1045,178,779,168,842,389,813,250,744,98,750,670,533,510,618,584,452,459,920,704,0
788,213,976,395,863,284,724,152,932,148,1079,363,998,230,876,76,1401,231,1303,404,1364,302,1424,166,1164,139,1190,367,1184,226,1138,64,1034,644,804,478,901,555,706,428,1212,693,0
1125,194,1290,401,1189,272,1074,126,1299,144,1399,376,1343,231,1263,65,1731,269,1611,430,1683,332,1765,210,1540,158,1509,387,1533,247,1540,80,1321,657,1107,478,1201,563,991,428,1484,702,0
1171,202,1324,410,1230,279,1123,135,1342,149,1434,384,1384,237,1306,71,1769,285,1647,438,1720,344,1805,228,1581,167,1544,395,1570,255,1584,90,1358,672,1137,480,1230,573,1033,428,1524,718,0
1180,221,1333,431,1239,299,1130,153,1353,172,1443,408,1394,261,1319,94,1781,312,1649,468,1730,372,1819,256,1591,195,1550,422,1580,282,1593,119,1352,690,1139,493,1229,586,1037,437,1516,744,0
1179,306,1326,513,1238,382,1128,240,1343,261,1435,493,1387,347,1303,183,1781,403,1632,556,1724,463,1822,346,1591,282,1539,508,1578,369,1594,204,1326,771,1127,574,1210,669,1031,507,1492,826,0
1180,471,1314,677,1237,545,1129,405,1352,438,1427,663,1394,521,1319,361,1784,591,1626,733,1722,645,1836,535,1603,469,1534,684,1584,550,1617,394,1301,915,1107,733,1188,821,1017,665,1458,964,0
1172,489,1309,693,1232,564,1119,422,1351,457,1422,679,1390,539,1320,381,1795,615,1622,751,1724,668,1852,560,1605,490,1529,701,1585,570,1617,416,1300,937,1102,741,1185,836,1009,674,1463,995,0
1072,489,1218,693,1135,564,1015,422,1242,457,1331,678,1289,539,1204,380,1707,606,1536,749,1639,663,1762,549,1501,480,1440,699,1488,564,1509,403,1217,937,1014,746,1097,837,917,680,1386,992,0
698,534,856,730,763,609,641,466,839,492,961,713,892,575,795,415,1337,634,1189,786,1281,696,1377,571,1075,510,1074,733,1091,595,1054,431,878,966,706,786,778,872,618,722,1036,1015,0
322,566,521,749,400,633,252,505,439,519,612,731,512,599,375,445,933,653,845,804,901,717,954,586,657,529,724,751,694,614,617,447,605,978,396,805,481,885,326,742,770,1020,0
215,554,415,739,293,623,148,491,309,516,497,723,389,595,244,439,748,625,707,780,736,689,757,559,504,511,597,736,552,595,461,431,522,956,314,787,397,865,237,726,687,993,0
225,548,426,725,306,612,156,489,327,502,508,709,405,582,262,427,767,606,719,764,750,671,780,542,519,499,608,721,566,582,477,424,529,942,323,775,405,850,244,719,691,977,0
320,385,506,561,393,450,257,326,435,328,594,534,504,407,379,258,874,414,810,571,851,478,890,352,641,318,696,538,673,403,610,243,600,799,396,631,475,712,319,575,767,835,0
389,285,555,456,453,347,334,229,505,219,646,430,567,298,453,148,932,298,855,469,903,367,952,231,701,212,746,435,726,295,674,139,644,705,448,534,521,617,370,481,809,743,0
419,289,594,461,488,351,360,233,538,225,687,433,605,303,480,156,980,309,897,475,948,376,1001,243,750,218,788,440,772,302,725,144,680,714,466,539,547,622,385,484,847,751,0
505,272,682,450,575,338,445,216,639,211,783,424,703,291,584,142,1088,302,1011,472,1060,369,1107,240,861,206,894,432,882,291,837,133,754,702,555,529,632,608,477,476,925,749,0
872,208,1046,408,944,281,812,145,1024,162,1154,385,1081,246,980,85,1504,280,1374,442,1450,346,1545,220,1272,166,1265,397,1277,256,1264,86,1074,661,868,479,956,562,770,422,1247,716,0
1074,192,1219,400,1131,269,1027,125,1233,141,1328,379,1279,230,1197,65,1674,282,1537,440,1620,345,1715,224,1471,160,1435,393,1465,249,1471,86,1229,657,1028,460,1112,554,932,402,1391,715,0
1071,195,1218,402,1129,271,1023,130,1233,146,1328,381,1278,234,1196,69,1676,289,1541,443,1623,350,1716,232,1474,167,1438,396,1467,255,1474,91,1229,660,1028,460,1110,556,937,398,1389,717,0
1105,298,1251,510,1163,375,1053,230,1275,251,1363,492,1318,340,1238,172,1712,411,1560,563,1654,469,1756,357,1514,275,1468,511,1503,364,1519,197,1235,769,1051,568,1124,664,962,500,1405,823,0
1130,462,1274,672,1194,539,1073,394,1300,427,1385,660,1347,515,1263,347,1747,590,1577,735,1679,647,1803,533,1549,455,1489,682,1535,542,1559,376,1243,915,1056,723,1135,814,968,654,1403,971,0
1118,582,1261,780,1182,656,1061,515,1299,543,1373,766,1341,627,1266,463,1757,703,1571,837,1681,757,1820,649,1554,571,1480,787,1537,656,1567,493,1229,1010,1046,819,1123,911,954,749,1383,1066,0
1087,547,1232,745,1153,619,1028,482,1263,508,1344,730,1311,589,1225,432,1732,672,1545,804,1657,724,1797,617,1527,531,1452,752,1510,616,1539,451,1218,983,1026,788,1105,882,932,718,1380,1038,0
961,564,1115,757,1025,636,905,496,1135,524,1225,744,1178,607,1103,444,1616,686,1438,820,1547,740,1673,632,1399,550,1337,767,1387,634,1407,470,1106,991,914,807,993,893,818,742,1271,1047,0
667,588,843,775,741,656,598,527,822,553,949,763,878,633,776,478,1316,713,1171,845,1257,767,1362,657,1061,579,1061,788,1073,661,1046,500,860,1010,685,832,754,916,601,767,1023,1060,0
398,598,569,776,463,664,338,538,496,568,655,766,563,641,439,497,966,717,881,844,932,769,987,657,700,596,762,790,730,666,668,524,646,988,453,812,528,890,388,753,803,1033,0
331,609,521,789,405,675,266,547,428,576,603,779,505,654,367,500,882,713,813,846,855,768,905,652,630,591,703,799,667,668,600,517,607,993,412,823,489,898,342,762,765,1033,0
342,538,536,709,419,599,272,480,448,495,618,694,524,571,386,423,883,622,820,755,859,678,903,562,640,511,715,711,680,583,606,442,614,923,417,758,495,831,340,702,773,962,0
389,356,572,530,464,421,323,299,512,297,660,503,577,379,455,224,948,397,869,546,917,458,971,338,713,295,759,509,740,382,685,219,649,769,455,605,530,683,380,551,814,810,0
414,250,586,420,481,313,356,193,527,182,674,392,593,261,472,110,973,262,882,428,937,328,999,198,728,171,773,395,754,255,702,97,663,668,455,499,535,580,375,448,836,707,0
429,243,599,409,497,304,370,188,538,174,689,382,606,254,480,104,991,256,895,423,954,323,1017,191,745,163,788,388,770,248,718,90,682,664,473,491,552,572,400,439,856,702,0
469,237,645,409,539,299,408,182,591,175,737,384,657,254,534,106,1042,262,947,428,1008,328,1065,198,805,166,839,392,828,251,779,93,719,663,509,487,591,568,431,435,889,706,0
701,210,878,400,773,279,639,150,833,163,981,377,902,243,778,91,1325,272,1204,438,1280,340,1358,208,1069,163,1092,391,1092,248,1045,90,918,663,715,481,799,565,617,423,1089,715,0
1013,206,1175,414,1081,285,955,138,1169,151,1283,391,1225,242,1122,71,1643,296,1496,457,1585,360,1685,237,1418,164,1393,406,1420,257,1410,85,1182,674,979,475,1066,569,882,412,1350,731,0
1098,186,1252,401,1158,266,1050,118,1266,140,1362,382,1311,231,1231,61,1713,293,1572,447,1659,353,1754,239,1508,164,1471,398,1501,253,1509,88,1255,661,1054,468,1139,559,960,406,1417,719,0
1123,211,1270,429,1182,291,1072,143,1292,167,1379,409,1336,259,1255,87,1738,322,1582,473,1677,381,1785,269,1533,192,1485,425,1522,282,1536,115,1265,691,1066,489,1148,586,974,421,1432,750,0
1034,377,1193,588,1101,453,974,308,1203,332,1303,569,1253,420,1159,252,1657,476,1505,632,1597,537,1704,419,1443,348,1410,585,1441,439,1441,268,1191,836,983,652,1069,739,882,590,1361,885,0
994,476,1152,673,1061,548,936,410,1158,436,1260,656,1211,519,1115,360,1627,586,1468,727,1564,641,1678,529,1406,456,1368,676,1404,538,1406,379,1162,923,964,728,1045,820,875,661,1330,976,0
956,513,1114,708,1023,585,898,446,1110,471,1222,690,1166,554,1068,391,1596,621,1437,763,1533,676,1648,565,1370,489,1333,711,1369,572,1370,411,1129,953,930,763,1012,851,831,702,1299,1001,0
788,504,958,690,864,569,719,445,926,464,1057,674,988,544,872,391,1418,606,1262,748,1356,665,1463,545,1168,473,1162,695,1181,561,1149,392,977,935,779,761,861,842,690,701,1148,981,0
516,508,695,688,588,572,452,450,629,470,782,669,694,544,576,403,1095,588,987,732,1056,648,1120,527,846,467,882,685,874,552,816,388,758,914,565,756,645,831,494,698,920,954,0
357,502,524,667,421,561,302,448,447,459,602,646,511,531,394,393,873,555,805,693,850,612,886,500,624,461,698,656,663,535,585,395,617,886,435,730,503,804,361,677,774,916,0
329,495,512,662,400,556,270,439,421,450,586,641,491,524,366,381,838,540,780,685,818,600,853,483,599,448,678,650,640,524,563,379,600,878,417,723,487,795,342,669,748,905,0
334,417,508,582,404,476,272,364,435,364,587,560,504,437,377,299,832,451,777,600,813,510,845,393,612,358,677,566,648,437,577,289,592,806,415,650,482,723,343,599,748,837,0
363,317,531,478,429,376,308,263,475,251,615,453,535,329,425,181,872,334,809,492,850,398,887,272,663,245,708,459,687,326,638,173,619,715,425,553,497,630,355,504,782,749,0
382,304,551,466,449,362,325,251,494,236,635,441,556,313,440,167,892,323,825,484,868,389,906,259,683,231,726,448,707,313,657,158,636,708,442,546,516,622,369,497,795,743,0
457,295,625,465,522,359,403,238,586,232,718,442,643,311,537,162,977,337,926,492,960,398,985,279,761,241,818,452,792,320,728,171,706,710,510,548,583,623,440,495,867,749,0
663,266,845,458,734,337,604,205,820,208,949,433,875,292,779,133,1257,322,1168,486,1224,387,1281,261,1047,222,1058,444,1058,304,1034,148,900,713,689,531,772,619,592,472,1069,753,0
902,260,1076,455,972,334,844,196,1073,199,1186,431,1123,288,1035,122,1529,337,1405,494,1481,400,1565,278,1313,212,1299,445,1316,302,1305,132,1107,707,892,520,983,609,791,459,1275,761,0
